,en,ru
UI,,
play,PLAY,ИГРАТЬ
tutorial,TUTORIAL,ОБУЧЕНИЕ
end_turn,End turn,Завершить ход
choose_bone,Choose a tile,Выберите кость
choose_head,Choose and add a head,Выберите и добавьте голову
skip,Skip,Пропустить
victory,VICTORY,ПОБЕДА
endless_mode,Endless mode,Бесконечный режим
give_up,Give up,Сдаться
stage,Stage %s,Этап %s
sfx_volume,Effects volume,Громкость эффектов
music_volume,Music volume,Громкость музыки
end_run,End run,Закончить забег
block_damage,Block,Блок
,,
,,
bone_bag_name,Tile Bag,Мешок для костей
discard_bag_name,Discard Bag,Мешок для сброса
bag_des,Currently contains %s of your tiles.,В мешке сейчас %s костей.
,,
intent_attack_des,The enemy intends to attack.,Враг планирует атаковать.
intent_attack_buff_des,The enemy intends to attack and apply a buff to itself.,Враг планирует атаковать и наложить на себя положительный эффект.
intent_attack_debuff_des,The enemy intends to attack and inflict a debuff on you.,Враг планирует атаковать и наложить на вас отрицательный эффект.
intent_debuff_des,The enemy intends to inflict a debuff on you.,Враг планирует наложить на вас отрицательный эффект.
intent_buff,The enemy intends to apply a buff to itself.,Враг планирует наложить на себя положительный эффект.
,,
heal_card_des,Restore %s HP. ,Восстановить %s здоровья
remove_card_des,Remove a tile from your deck.,Убрать кость из колоды.
remove_2_domino_des,Remove 2 tiles from your deck.,Убрать 2 кости из колоды.
remove_bone_text,Click on the tiles you want to remove,"Кликните на кости, которые хотите убрать"
add_bone_for_damage_card_des,"Add a tile to your deck, but lose %s health.","Добавить кость в колоду, но потерять %s здоровья."
more_options_card_des,Increase the number of available tiles and heads by 1 when gaining rewards.,Увеличить число доступных костей и голов при получении наград на 1. 
attack_bb_card_des,A bonus that deals 5 damage starts appearing on the board.,"На поле начинает появляться бонус, который наносит 5 урона."
defense_bb_card_des,A bonus that gain 4 block starts appearing on the board.,"На поле начинает появляться бонус, который дает 4 брони."
heal_bb_card_des,A bonus that restores 3 health starts appearing on the board.,"На поле начинает появляться бонус, который восстанавливает 3 здоровья."
draw_bb_card_des,"A bonus that, when activated, draws 1 extra tile on your next turn starts appearing on the board.","На поле начинает появляться бонус, при активации которого, вы возьмете на 1 кость больше в следующем ходу."
weak_bb_card_des,A bonus starts appearing on the board that reduces the enemy’s damage by 25%.,"На поле начинает появляться бонус, который уменьшает урон врага на 25%."
vulnerable_bb_card_des,A bonus starts appearing on the board that increases attack damage against the enemy by 50%.,"На поле начинает появляться бонус, который увеличивает урон от атака по врагу на 50%."
repeat_bb_card_des,A bonus starts appearing on the board that doubles the effect of your next played tile.,"На поле начинает появляться бонус, который удваивает эффект следующей сыгранной кости."
crit_bb_card_des,A bonus starts appearing on the board that doubles the damage of your next red tile.,"На поле начинает появляться бонус, который удваивает урон следующей красной кости."
,,
